Activity,PureCNN_5,PureCNN_10,PureCNN_20,DeepConvLSTM_5,DeepConvLSTM_10,DeepConvLSTM_20
A,0.275,0.496,0.508,0.413,0.481,0.495
B,0.483,0.738,0.766,0.626,0.734,0.742
C,0.274,0.412,0.456,0.374,0.447,0.472
D,0.211,0.218,0.251,0.197,0.240,0.239
E,0.441,0.431,0.385,0.437,0.433,0.410
F,0.046,0.085,0.091,0.147,0.123,0.135
G,0.045,0.145,0.149,0.094,0.130,0.142
H,0.066,0.111,0.090,0.080,0.068,0.094
I,0.082,0.045,0.062,0.092,0.101,0.079
J,0.076,0.079,0.083,0.125,0.064,0.099
K,0.067,0.059,0.074,0.081,0.058,0.055
L,0.190,0.151,0.155,0.172,0.152,0.159
M,0.180,0.287,0.326,0.295,0.286,0.265
O,0.232,0.232,0.240,0.214,0.234,0.220
P,0.160,0.310,0.286,0.187,0.279,0.309
Q,0.091,0.061,0.121,0.122,0.128,0.096
R,0.108,0.205,0.220,0.150,0.154,0.149
S,0.165,0.325,0.295,0.200,0.277,0.286
